Scenario,Subject,Method,Model,Features,Accuracy,F1,TrainTime_s,BaselineAcc
Subject-Dependent,Subject4,fi,KNN,26,0.6049004594180705,0.6041769371429372,0.0031244754791259766,0.5513016845329249
Cross-Subject,Subject4,fi,KNN,25,0.5265700483091788,0.5267476652939177,0.5148396492004395,0.5254552211073951
Subject-Dependent,Subject4,fi,RF,26,0.6447166921898928,0.645652563024043,0.8365895748138428,0.5513016845329249
Cross-Subject,Subject4,fi,RF,25,0.5752508361204013,0.5748464985239542,30.457499265670776,0.5254552211073951
Subject-Dependent,Subject4,fi,DT,26,0.5298621745788668,0.5310574149138287,1.4070968627929688,0.5513016845329249
Cross-Subject,Subject4,fi,DT,25,0.5172798216276477,0.5175908276968215,13.573744297027588,0.5254552211073951
Subject-Dependent,Subject4,fi,GBoosting,26,0.6401225114854517,0.6410123638631797,3.618028402328491,0.5513016845329249
Cross-Subject,Subject4,fi,GBoosting,25,0.6038647342995169,0.602520566481194,151.11815857887268,0.5254552211073951
Subject-Dependent,Subject4,lcc,SVM,35,0.6385911179173047,0.6395199709308855,0.7964224815368652,0.5513016845329249
Cross-Subject,Subject4,lcc,SVM,21,0.4808621330360461,0.44353241660990866,66.9001715183258,0.5254552211073951
Subject-Dependent,Subject4,lcc,KNN,35,0.5788667687595712,0.5798255748237255,0.05763864517211914,0.5513016845329249
Cross-Subject,Subject4,lcc,KNN,21,0.5317725752508361,0.5320541364998062,0.26101183891296387,0.5254552211073951
Subject-Dependent,Subject4,lcc,RF,35,0.6003062787136294,0.6013586359143787,1.5700104236602783,0.5513016845329249
Cross-Subject,Subject4,lcc,RF,21,0.5410628019323671,0.5384974469670069,14.971328496932983,0.5254552211073951
Subject-Dependent,Subject4,lcc,DT,35,0.5834609494640123,0.5845063964980466,0.5519275665283203,0.5513016845329249
Cross-Subject,Subject4,lcc,DT,21,0.4938684503901895,0.49414767295067846,55.09164595603943,0.5254552211073951
Subject-Dependent,Subject4,lcc,GBoosting,35,0.6370597243491577,0.6377874730742454,5.3231360912323,0.5513016845329249
Cross-Subject,Subject4,lcc,GBoosting,21,0.5284280936454849,0.5244924902006771,109.27847194671631,0.5254552211073951
Subject-Dependent,Subject4,pca,SVM,51,0.6523736600306279,0.6515128894434068,0.4386301040649414,0.5513016845329249
Cross-Subject,Subject4,pca,SVM,35,0.48978075065031584,0.4221692336122207,85.78420972824097,0.5254552211073951
Subject-Dependent,Subject4,pca,KNN,51,0.5313935681470138,0.5243596065503383,0.005758047103881836,0.5513016845329249
Cross-Subject,Subject4,pca,KNN,35,0.5325157933853586,0.5328152308883796,0.33513832092285156,0.5254552211073951
Subject-Dependent,Subject4,pca,RF,51,0.6370597243491577,0.6352637162054237,3.4265594482421875,0.5513016845329249
Cross-Subject,Subject4,pca,RF,35,0.5473801560758083,0.5456219977959109,30.21135401725769,0.5254552211073951
Subject-Dependent,Subject4,pca,DT,51,0.5696784073506891,0.5707824571108607,2.1535308361053467,0.5513016845329249
Cross-Subject,Subject4,pca,DT,35,0.5124489037532516,0.5127025332313369,39.99854302406311,0.5254552211073951
Subject-Dependent,Subject4,pca,GBoosting,51,0.6370597243491577,0.6344143324814324,6.8389177322387695,0.5513016845329249
Cross-Subject,Subject4,pca,GBoosting,35,0.5589000371609067,0.5506508554086009,217.76287746429443,0.5254552211073951
Subject-Dependent,Subject5,none,SVM,84,0.5880551301684533,0.5872142363403072,0.7263197898864746,0.5513016845329249
Cross-Subject,Subject5,none,SVM,84,0.47045707915273133,0.40939931257397627,181.624995470047,0.5254552211073951
Subject-Dependent,Subject5,none,KNN,84,0.5130168453292496,0.5142942592567156,0.005293607711791992,0.5513016845329249
Cross-Subject,Subject5,none,KNN,84,0.5068747677443329,0.5052123035067196,0.9012420177459717,0.5254552211073951
Subject-Dependent,Subject5,none,RF,84,0.6263399693721287,0.6271398274818547,7.590307950973511,0.5513016845329249
Cross-Subject,Subject5,none,RF,84,0.5302861389817911,0.483375247845208,27.333351135253906,0.5254552211073951
Subject-Dependent,Subject5,none,DT,84,0.5696784073506891,0.5708137804743414,0.5681190490722656,0.5513016845329249
Cross-Subject,Subject5,none,DT,84,0.5302861389817911,0.5282074346403249,34.825353384017944,0.5254552211073951
Subject-Dependent,Subject5,none,GBoosting,84,0.6186830015313936,0.6195243874611754,14.220086097717285,0.5513016845329249
Cross-Subject,Subject5,none,GBoosting,84,0.5150501672240803,0.4371215119850584,553.5137219429016,0.5254552211073951
Subject-Dependent,Subject5,anova,SVM,21,0.6064318529862175,0.6073279008352636,1.511406421661377,0.5513016845329249
Cross-Subject,Subject5,anova,SVM,30,0.47157190635451507,0.4636222612675562,61.9203143119812,0.5254552211073951
Subject-Dependent,Subject5,anova,KNN,21,0.5313935681470138,0.5322144037759914,0.034685373306274414,0.5513016845329249
Cross-Subject,Subject5,anova,KNN,30,0.5232255667038276,0.5218368400133354,0.595757246017456,0.5254552211073951
Subject-Dependent,Subject5,anova,RF,21,0.5880551301684533,0.5891397435286125,2.1127066612243652,0.5513016845329249
Cross-Subject,Subject5,anova,RF,30,0.5299145299145299,0.5251551419920164,48.643922328948975,0.5254552211073951
Subject-Dependent,Subject5,anova,DT,21,0.5681470137825421,0.5692845809171557,0.8378384113311768,0.5513016845329249
Cross-Subject,Subject5,anova,DT,30,0.5172798216276477,0.5174358156314975,21.241492748260498,0.5254552211073951
Subject-Dependent,Subject5,anova,GBoosting,21,0.6003062787136294,0.6013070785268722,3.066804885864258,0.5513016845329249
Cross-Subject,Subject5,anova,GBoosting,30,0.5440356744704571,0.5303285689519084,239.34986901283264,0.5254552211073951
Subject-Dependent,Subject5,fi,SVM,13,0.6171516079632465,0.6164505204873421,2.257995367050171,0.5513016845329249
Cross-Subject,Subject5,fi,SVM,25,0.45076179858788556,0.37850821095135273,61.512173652648926,0.5254552211073951
Subject-Dependent,Subject5,fi,KNN,13,0.5681470137825421,0.5689373891350884,0.07410550117492676,0.5513016845329249
Cross-Subject,Subject5,fi,KNN,25,0.5120772946859904,0.5083495826893496,0.18474268913269043,0.5254552211073951
Subject-Dependent,Subject5,fi,RF,13,0.6171516079632465,0.6181514237809597,1.1410682201385498,0.5513016845329249
Cross-Subject,Subject5,fi,RF,25,0.5366034931252323,0.48425361505027564,31.61514115333557,0.5254552211073951
Subject-Dependent,Subject5,fi,DT,13,0.5604900459418071,0.5603478047071592,0.4912559986114502,0.5513016845329249
Cross-Subject,Subject5,fi,DT,25,0.5221107395020439,0.5170842805081616,13.817498207092285,0.5254552211073951
Subject-Dependent,Subject5,fi,GBoosting,13,0.6140888208269525,0.6151011111090954,2.1416690349578857,0.5513016845329249
Cross-Subject,Subject5,fi,GBoosting,25,0.5202526941657376,0.44174384352384666,168.95982956886292,0.5254552211073951
Subject-Dependent,Subject5,lcc,SVM,34,0.6186830015313936,0.618962741380944,2.7992374897003174,0.5513016845329249
Cross-Subject,Subject5,lcc,SVM,21,0.4712002972872538,0.4681108127564533,76.65528798103333,0.5254552211073951
Subject-Dependent,Subject5,lcc,KNN,34,0.5022970903522205,0.5035277372575889,0.009679794311523438,0.5513016845329249
Cross-Subject,Subject5,lcc,KNN,21,0.5209959123002601,0.5195578360832867,0.06906890869140625,0.5254552211073951
Subject-Dependent,Subject5,lcc,RF,34,0.6125574272588055,0.6135681256359086,0.998978853225708,0.5513016845329249
Cross-Subject,Subject5,lcc,RF,21,0.5332590115198811,0.5282753924380927,29.207448482513428,0.5254552211073951
Subject-Dependent,Subject5,lcc,DT,34,0.5436447166921899,0.5445233832373687,1.4469640254974365,0.5513016845329249
Cross-Subject,Subject5,lcc,DT,21,0.5094760312151616,0.5097626506967835,27.202595472335815,0.5254552211073951
Subject-Dependent,Subject5,lcc,GBoosting,34,0.6094946401225115,0.6104724330434957,4.9567670822143555,0.5513016845329249
Cross-Subject,Subject5,lcc,GBoosting,21,0.5354886659234486,0.519371800362937,149.39646077156067,0.5254552211073951
Subject-Dependent,Subject5,pca,SVM,30,0.5849923430321593,0.5855044256638822,2.5613651275634766,0.5513016845329249
Cross-Subject,Subject5,pca,SVM,35,0.47788926049795616,0.4772488087771628,60.82248091697693,0.5254552211073951
Subject-Dependent,Subject5,pca,KNN,30,0.5068912710566615,0.5081586044056997,0.0036804676055908203,0.5513016845329249
Cross-Subject,Subject5,pca,KNN,35,0.5105908584169454,0.5094959332943835,0.10457468032836914,0.5254552211073951
Subject-Dependent,Subject5,pca,RF,30,0.5972434915773354,0.5977404573786015,4.982912302017212,0.5513016845329249
Cross-Subject,Subject5,pca,RF,35,0.5299145299145299,0.5298779174051651,31.697144985198975,0.5254552211073951
Subject-Dependent,Subject5,pca,DT,30,0.5114854517611026,0.512496681519359,0.40584802627563477,0.5513016845329249
Cross-Subject,Subject5,pca,DT,35,0.5135637309550353,0.5137459202202792,18.972666263580322,0.5254552211073951
Subject-Dependent,Subject5,pca,GBoosting,30,0.5834609494640123,0.5845535802447379,5.58535361289978,0.5513016845329249
Cross-Subject,Subject5,pca,GBoosting,35,0.5492382014121144,0.5478027449985888,220.79820799827576,0.5254552211073951
Subject-Dependent,Subject6,none,SVM,84,0.5650842266462481,0.5640230582803324,0.6240730285644531,0.5513016845329249
Cross-Subject,Subject6,none,SVM,84,0.5332590115198811,0.4930978546251242,31.604880809783936,0.5254552211073951
Subject-Dependent,Subject6,none,KNN,84,0.5620214395099541,0.5586232234617617,0.007962942123413086,0.5513016845329249
Cross-Subject,Subject6,none,KNN,84,0.5377183203270159,0.5379331430772963,0.14051294326782227,0.5254552211073951
Subject-Dependent,Subject6,none,RF,84,0.555895865237366,0.546445810909771,0.5799517631530762,0.5513016845329249
Cross-Subject,Subject6,none,RF,84,0.5808249721293199,0.5750294908380505,35.36325216293335,0.5254552211073951
Subject-Dependent,Subject6,none,DT,84,0.5176110260336907,0.5169321547337347,2.21297550201416,0.5513016845329249
Cross-Subject,Subject6,none,DT,84,0.5113340765514679,0.5108394324013861,39.3432981967926,0.5254552211073951
Subject-Dependent,Subject6,none,GBoosting,84,0.5482388973966309,0.5423589353910648,6.505916357040405,0.5513016845329249
Cross-Subject,Subject6,none,GBoosting,84,0.5867707172054998,0.5864376008574349,280.8430142402649,0.5254552211073951
Subject-Dependent,Subject6,anova,SVM,47,0.5604900459418071,0.5547695405330021,0.15757322311401367,0.5513016845329249
Cross-Subject,Subject6,anova,SVM,30,0.5455221107395021,0.5433884521874139,11.68107795715332,0.5254552211073951
Subject-Dependent,Subject6,anova,KNN,47,0.5895865237366003,0.5885851395039757,0.005356311798095703,0.5513016845329249
Cross-Subject,Subject6,anova,KNN,30,0.5470085470085471,0.5472321899717154,0.05650520324707031,0.5254552211073951
Subject-Dependent,Subject6,anova,RF,47,0.5604900459418071,0.5513489703500618,1.6255934238433838,0.5513016845329249
Cross-Subject,Subject6,anova,RF,30,0.5841694537346711,0.581795338526106,21.22332739830017,0.5254552211073951
Subject-Dependent,Subject6,anova,DT,47,0.5145482388973966,0.5130354490337931,0.6755199432373047,0.5513016845329249
Cross-Subject,Subject6,anova,DT,30,0.5228539576365663,0.5225225691033307,13.709927558898926,0.5254552211073951
Subject-Dependent,Subject6,anova,GBoosting,47,0.5436447166921899,0.5395132111158478,4.067675352096558,0.5513016845329249
Cross-Subject,Subject6,anova,GBoosting,30,0.5875139353400223,0.5872046674377468,85.77101540565491,0.5254552211073951
Subject-Dependent,Subject6,fi,SVM,16,0.5237366003062787,0.5027002655167248,0.22397089004516602,0.5513016845329249
Cross-Subject,Subject6,fi,SVM,22,0.5083612040133779,0.450511815413883,17.0108699798584,0.5254552211073951
Subject-Dependent,Subject6,fi,KNN,16,0.5222052067381318,0.5115716300581299,0.002554655075073242,0.5513016845329249
Cross-Subject,Subject6,fi,KNN,22,0.5592716462281679,0.5592716462281679,0.10954523086547852,0.5254552211073951
Subject-Dependent,Subject6,fi,RF,16,0.5359877488514548,0.5229956842206804,1.8950161933898926,0.5513016845329249
Cross-Subject,Subject6,fi,RF,22,0.5633593459680416,0.5494402461813571,13.394249200820923,0.5254552211073951
Subject-Dependent,Subject6,fi,DT,16,0.5007656967840735,0.5006860830511728,0.25752782821655273,0.5513016845329249
Cross-Subject,Subject6,fi,DT,22,0.5354886659234486,0.5337310136483808,7.4932215213775635,0.5254552211073951
Subject-Dependent,Subject6,fi,GBoosting,16,0.5206738131699847,0.5072529675282936,1.374739408493042,0.5513016845329249
Cross-Subject,Subject6,fi,GBoosting,22,0.5726495726495726,0.5611716648302013,61.093997955322266,0.5254552211073951
Subject-Dependent,Subject6,lcc,SVM,25,0.5344563552833078,0.5195643828071492,0.13593578338623047,0.5513016845329249
Cross-Subject,Subject6,lcc,SVM,21,0.5276848755109624,0.5279579811094661,10.574645519256592,0.5254552211073951
Subject-Dependent,Subject6,lcc,KNN,25,0.5267993874425727,0.5182712135681103,0.0029113292694091797,0.5513016845329249
Cross-Subject,Subject6,lcc,KNN,21,0.5418060200668896,0.5413140819953544,0.030191898345947266,0.5254552211073951
Subject-Dependent,Subject6,lcc,RF,25,0.5482388973966309,0.5324273398737941,0.37146854400634766,0.5513016845329249
Cross-Subject,Subject6,lcc,RF,21,0.5785953177257525,0.5772053584630372,10.129864931106567,0.5254552211073951
Subject-Dependent,Subject6,lcc,DT,25,0.49770290964777947,0.4966919243431914,0.10297513008117676,0.5513016845329249
Cross-Subject,Subject6,lcc,DT,21,0.5068747677443329,0.5065187293819694,16.142549514770508,0.5254552211073951
Subject-Dependent,Subject6,lcc,GBoosting,25,0.5482388973966309,0.5388430183040706,4.154311418533325,0.5513016845329249
Cross-Subject,Subject6,lcc,GBoosting,21,0.5890003716090673,0.5890157344730811,84.05352282524109,0.5254552211073951
Subject-Dependent,Subject6,pca,SVM,48,0.5405819295558959,0.5416237868222844,0.22947406768798828,0.5513016845329249
Cross-Subject,Subject6,pca,SVM,35,0.5548123374210331,0.5496220813157126,15.516338586807251,0.5254552211073951
Subject-Dependent,Subject6,pca,KNN,48,0.4793261868300153,0.46614798587593825,0.004729032516479492,0.5513016845329249
Cross-Subject,Subject6,pca,KNN,35,0.5224823485693051,0.522508923142782,0.05264019966125488,0.5254552211073951
Subject-Dependent,Subject6,pca,RF,48,0.5497702909647779,0.5509002962148004,0.49681997299194336,0.5513016845329249
Cross-Subject,Subject6,pca,RF,35,0.5726495726495726,0.5651530910015216,13.588823318481445,0.5254552211073951
Subject-Dependent,Subject6,pca,DT,48,0.5206738131699847,0.5214683646340105,0.25079989433288574,0.5513016845329249
Cross-Subject,Subject6,pca,DT,35,0.5157933853586028,0.5158203321829145,32.48268103599548,0.5254552211073951
Subject-Dependent,Subject6,pca,GBoosting,48,0.5650842266462481,0.5642088613215438,8.086566925048828,0.5513016845329249
Cross-Subject,Subject6,pca,GBoosting,35,0.5882571534745448,0.5833667312312578,119.54273796081543,0.5254552211073951
Subject-Dependent,Subject7,none,SVM,84,0.6799387442572741,0.6692899852660796,0.4945993423461914,0.5513016845329249
Cross-Subject,Subject7,none,SVM,84,0.4589066567497211,0.3458216318067823,28.31793189048767,0.5258460394198586
Subject-Dependent,Subject7,none,KNN,84,0.6033690658499234,0.5864672898145166,0.007244110107421875,0.5513016845329249
Cross-Subject,Subject7,none,KNN,84,0.49312011900334696,0.49343217579718807,0.1979966163635254,0.5258460394198586
Subject-Dependent,Subject7,none,RF,84,0.7075038284839203,0.6950395843805893,2.177656888961792,0.5513016845329249
Cross-Subject,Subject7,none,RF,84,0.5269616957976944,0.5208062080558559,46.41863775253296,0.5258460394198586
Subject-Dependent,Subject7,none,DT,84,0.6447166921898928,0.6426603080499923,1.46089768409729,0.5513016845329249
Cross-Subject,Subject7,none,DT,84,0.5072517664559316,0.506451339388282,22.99476385116577,0.5258460394198586
Subject-Dependent,Subject7,none,GBoosting,84,0.7166921898928025,0.7092650752756585,6.462852478027344,0.5513016845329249
Cross-Subject,Subject7,none,GBoosting,84,0.5771662328002976,0.5722875362904439,277.0872621536255,0.5258460394198586
Subject-Dependent,Subject7,anova,SVM,50,0.7274119448698315,0.7209991309931307,0.18748974800109863,0.5513016845329249
Cross-Subject,Subject7,anova,SVM,30,0.471178876905913,0.3895384201427206,10.553051471710205,0.5258460394198586
Subject-Dependent,Subject7,anova,KNN,50,0.6355283307810107,0.6253597632527738,0.0049266815185546875,0.5513016845329249
Cross-Subject,Subject7,anova,KNN,30,0.5187802156935664,0.5185189036340475,0.04673933982849121,0.5258460394198586
Subject-Dependent,Subject7,anova,RF,50,0.7335375191424196,0.7264040226354727,0.4136338233947754,0.5513016845329249
Cross-Subject,Subject7,anova,RF,30,0.5269616957976944,0.5184118251982931,13.91438364982605,0.5258460394198586
Subject-Dependent,Subject7,anova,DT,50,0.6339969372128637,0.6335465339740496,0.9718606472015381,0.5513016845329249
Cross-Subject,Subject7,anova,DT,30,0.5113425065079955,0.5115036642943246,27.812166213989258,0.5258460394198586
Subject-Dependent,Subject7,anova,GBoosting,50,0.7320061255742726,0.7252734883990112,4.498744964599609,0.5513016845329249
Cross-Subject,Subject7,anova,GBoosting,30,0.5295648940126441,0.5100131673118593,83.17431735992432,0.5258460394198586
Subject-Dependent,Subject7,fi,SVM,20,0.7105666156202144,0.7026557185035636,0.7966892719268799,0.5513016845329249
Cross-Subject,Subject7,fi,SVM,27,0.4748977314986984,0.32537481331490087,19.638534545898438,0.5258460394198586
Subject-Dependent,Subject7,fi,KNN,20,0.655436447166922,0.6488750125702006,0.0027666091918945312,0.5513016845329249
Cross-Subject,Subject7,fi,KNN,27,0.5169207883971737,0.5172333455916232,0.03720521926879883,0.5258460394198586
Subject-Dependent,Subject7,fi,RF,20,0.7182235834609495,0.7100375887512181,0.32293152809143066,0.5513016845329249
Cross-Subject,Subject7,fi,RF,27,0.5217552993677947,0.5178353686329225,12.780401468276978,0.5258460394198586
Subject-Dependent,Subject7,fi,DT,20,0.6125574272588055,0.6108472439990974,0.21440887451171875,0.5513016845329249
Cross-Subject,Subject7,fi,DT,27,0.49200446262551134,0.4918994600243272,19.377383708953857,0.5258460394198586
Subject-Dependent,Subject7,fi,GBoosting,20,0.7304747320061256,0.7249531415600865,1.659125804901123,0.5513016845329249
Cross-Subject,Subject7,fi,GBoosting,27,0.5645221271848271,0.5617444207153641,75.50911688804626,0.5258460394198586
Subject-Dependent,Subject7,lcc,SVM,36,0.7166921898928025,0.7098780307887305,0.161665678024292,0.5513016845329249
Cross-Subject,Subject7,lcc,SVM,21,0.4819635552249907,0.43423115679463437,26.93590784072876,0.5258460394198586
Subject-Dependent,Subject7,lcc,KNN,36,0.667687595712098,0.6586047138374248,0.002615690231323242,0.5513016845329249
Cross-Subject,Subject7,lcc,KNN,21,0.5202677575306806,0.5197610966841002,0.027128219604492188,0.5258460394198586
Subject-Dependent,Subject7,lcc,RF,36,0.7105666156202144,0.7002003806425399,0.34607458114624023,0.5513016845329249
Cross-Subject,Subject7,lcc,RF,21,0.550018594272964,0.5373900418299141,9.439203977584839,0.5258460394198586
Subject-Dependent,Subject7,lcc,DT,36,0.663093415007657,0.6628663415940663,0.1231691837310791,0.5513016845329249
Cross-Subject,Subject7,lcc,DT,21,0.5016734845667534,0.5016539961191728,5.974419116973877,0.5258460394198586
Subject-Dependent,Subject7,lcc,GBoosting,36,0.7304747320061256,0.7238486244272171,4.153953790664673,0.5513016845329249
Cross-Subject,Subject7,lcc,GBoosting,21,0.5366307177389364,0.5149306582756377,80.4254937171936,0.5258460394198586
Subject-Dependent,Subject7,pca,SVM,50,0.6967840735068913,0.6868840358870493,0.32007884979248047,0.5513016845329249
Cross-Subject,Subject7,pca,SVM,35,0.4715507623651915,0.4406258092849777,31.066630363464355,0.5258460394198586
Subject-Dependent,Subject7,pca,KNN,50,0.5972434915773354,0.5744912792785417,0.004106044769287109,0.5513016845329249
Cross-Subject,Subject7,pca,KNN,35,0.5265898103384158,0.5269054448647356,0.14395976066589355,0.5258460394198586
Subject-Dependent,Subject7,pca,RF,50,0.6584992343032159,0.6458210474522018,0.44909167289733887,0.5513016845329249
Cross-Subject,Subject7,pca,RF,35,0.5384901450353291,0.5278101323596391,12.465441703796387,0.5258460394198586
Subject-Dependent,Subject7,pca,DT,50,0.5819295558958653,0.5825379844834864,0.27567100524902344,0.5513016845329249
Cross-Subject,Subject7,pca,DT,35,0.5079955373744887,0.507985985374908,12.329278707504272,0.5258460394198586
Subject-Dependent,Subject7,pca,GBoosting,50,0.6539050535987749,0.6426050106589553,5.770489692687988,0.5513016845329249
Cross-Subject,Subject7,pca,GBoosting,35,0.5448121978430643,0.5182031783999527,113.37774586677551,0.5258460394198586
Subject-Dependent,Subject8,none,SVM,84,0.4762633996937213,0.47292561157339397,0.45631861686706543,0.5513016845329249
Cross-Subject,Subject8,none,SVM,84,0.483835005574136,0.4649330371693981,30.57114291191101,0.5254552211073951
Subject-Dependent,Subject8,none,KNN,84,0.4992343032159265,0.4982121014248345,0.0069849491119384766,0.5513016845329249
Cross-Subject,Subject8,none,KNN,84,0.5209959123002601,0.5193933289347467,0.15893149375915527,0.5254552211073951
Subject-Dependent,Subject8,none,RF,84,0.5252679938744257,0.522788335249846,2.7331745624542236,0.5513016845329249
Cross-Subject,Subject8,none,RF,84,0.5273132664437012,0.4601564182495759,47.163146018981934,0.5254552211073951
Subject-Dependent,Subject8,none,DT,84,0.5222052067381318,0.5222052067381318,1.7928557395935059,0.5513016845329249
Cross-Subject,Subject8,none,DT,84,0.49795615013006317,0.4946532933176578,20.29630446434021,0.5254552211073951
Subject-Dependent,Subject8,none,GBoosting,84,0.557427258805513,0.552037659260685,6.51322078704834,0.5513016845329249
Cross-Subject,Subject8,none,GBoosting,84,0.5369751021924934,0.4644971982441582,277.45448446273804,0.5254552211073951
Subject-Dependent,Subject8,anova,SVM,31,0.48085758039816234,0.4814981560887678,0.1781320571899414,0.5513016845329249
Cross-Subject,Subject8,anova,SVM,30,0.48494983277591974,0.48139433520711006,14.071640253067017,0.5254552211073951
Subject-Dependent,Subject8,anova,KNN,31,0.5053598774885145,0.5066425558620458,0.00385284423828125,0.5513016845329249
Cross-Subject,Subject8,anova,KNN,30,0.5065031586770717,0.5048286231585606,0.08722138404846191,0.5254552211073951
Subject-Dependent,Subject8,anova,RF,31,0.49617151607963245,0.49748582345539083,1.6259822845458984,0.5513016845329249
Cross-Subject,Subject8,anova,RF,30,0.5488665923448532,0.5091508040185677,20.64360761642456,0.5254552211073951
Subject-Dependent,Subject8,anova,DT,31,0.5007656967840735,0.50125748402338,0.6763157844543457,0.5513016845329249
Cross-Subject,Subject8,anova,DT,30,0.4916387959866221,0.48858185961898654,13.07613754272461,0.5254552211073951
Subject-Dependent,Subject8,anova,GBoosting,31,0.4686064318529862,0.46977896565874666,2.7132325172424316,0.5513016845329249
Cross-Subject,Subject8,anova,GBoosting,30,0.5321441843180974,0.469673160383352,85.71185660362244,0.5254552211073951
Subject-Dependent,Subject8,fi,SVM,31,0.4670750382848392,0.4636786924781904,0.24029827117919922,0.5513016845329249
Cross-Subject,Subject8,fi,SVM,24,0.49944258639910816,0.445466357908581,13.653825044631958,0.5254552211073951
Subject-Dependent,Subject8,fi,KNN,31,0.4548238897396631,0.45595793751529373,0.0045773983001708984,0.5513016845329249
Cross-Subject,Subject8,fi,KNN,24,0.4938684503901895,0.48946089218930217,0.048981666564941406,0.5254552211073951
Subject-Dependent,Subject8,fi,RF,31,0.49770290964777947,0.49770290964777947,1.6496825218200684,0.5513016845329249
Cross-Subject,Subject8,fi,RF,24,0.5328874024526199,0.47743088622013397,14.009236097335815,0.5254552211073951
Subject-Dependent,Subject8,fi,DT,31,0.5298621745788668,0.5303291889675786,0.5443968772888184,0.5513016845329249
Cross-Subject,Subject8,fi,DT,24,0.5191378669639539,0.5136697808112268,12.126924514770508,0.5254552211073951
Subject-Dependent,Subject8,fi,GBoosting,31,0.5467075038284839,0.5435442396465675,2.4995322227478027,0.5513016845329249
Cross-Subject,Subject8,fi,GBoosting,24,0.5317725752508361,0.4625967115596007,66.68317484855652,0.5254552211073951
Subject-Dependent,Subject8,lcc,SVM,34,0.47473200612557426,0.47511735057696297,0.18862152099609375,0.5513016845329249
Cross-Subject,Subject8,lcc,SVM,21,0.48234856930509107,0.47780995114202485,17.797963857650757,0.5254552211073951
Subject-Dependent,Subject8,lcc,KNN,34,0.4946401225114854,0.49597326880731474,0.013221025466918945,0.5513016845329249
Cross-Subject,Subject8,lcc,KNN,21,0.5098476402824229,0.5089900500544626,0.07013583183288574,0.5254552211073951
Subject-Dependent,Subject8,lcc,RF,34,0.5084226646248086,0.5094797578679021,1.5728447437286377,0.5513016845329249
Cross-Subject,Subject8,lcc,RF,21,0.5314009661835749,0.5072889342473056,11.205602645874023,0.5254552211073951
Subject-Dependent,Subject8,lcc,DT,34,0.5068912710566615,0.5081072964718732,0.18609905242919922,0.5513016845329249
Cross-Subject,Subject8,lcc,DT,21,0.5120772946859904,0.5108796590689808,11.192575454711914,0.5254552211073951
Subject-Dependent,Subject8,lcc,GBoosting,34,0.4869831546707504,0.48787627266394695,2.840696334838867,0.5513016845329249
Cross-Subject,Subject8,lcc,GBoosting,21,0.5295429208472687,0.4849310553884234,79.94896960258484,0.5254552211073951
Subject-Dependent,Subject8,pca,SVM,46,0.4869831546707504,0.4867275645468879,0.3132774829864502,0.5513016845329249
Cross-Subject,Subject8,pca,SVM,36,0.4968413229282794,0.49423473712132565,20.126391649246216,0.5254552211073951
Subject-Dependent,Subject8,pca,KNN,46,0.5038284839203675,0.5024883358209737,0.0047321319580078125,0.5513016845329249
Cross-Subject,Subject8,pca,KNN,36,0.5180230397621702,0.5174754265814763,0.05186748504638672,0.5254552211073951
Subject-Dependent,Subject8,pca,RF,46,0.4869831546707504,0.4835597058175897,0.48838257789611816,0.5513016845329249
Cross-Subject,Subject8,pca,RF,36,0.5332590115198811,0.509328928501962,23.986032485961914,0.5254552211073951
Subject-Dependent,Subject8,pca,DT,46,0.5160796324655437,0.5155762670219698,0.3596460819244385,0.5513016845329249
Cross-Subject,Subject8,pca,DT,36,0.5165366034931252,0.5156550371631627,19.783321380615234,0.5254552211073951
Subject-Dependent,Subject8,pca,GBoosting,46,0.47013782542113325,0.4709638108981991,5.331390142440796,0.5513016845329249
Cross-Subject,Subject8,pca,GBoosting,36,0.5317725752508361,0.49335725295450034,118.72999334335327,0.5254552211073951
Subject-Dependent,Subject9,none,SVM,84,0.6156202143950995,0.6164683584447995,0.6004159450531006,0.5513016845329249
Cross-Subject,Subject9,none,SVM,84,0.45968041620215533,0.37344707681175787,30.418309450149536,0.5254552211073951
Subject-Dependent,Subject9,none,KNN,84,0.5451761102603369,0.5455097758640176,0.08000802993774414,0.5513016845329249
Cross-Subject,Subject9,none,KNN,84,0.5276848755109624,0.5278789136892978,0.343231201171875,0.5254552211073951
Subject-Dependent,Subject9,none,RF,84,0.6845329249617151,0.6823314640783544,6.614848375320435,0.5513016845329249
Cross-Subject,Subject9,none,RF,84,0.5343738387216648,0.4773478036144161,33.249796867370605,0.5254552211073951
Subject-Dependent,Subject9,none,DT,84,0.5880551301684533,0.5882424164111398,0.39514899253845215,0.5513016845329249
Cross-Subject,Subject9,none,DT,84,0.49498327759197325,0.49289213085285416,18.530540466308594,0.5254552211073951
Subject-Dependent,Subject9,none,GBoosting,84,0.6875957120980092,0.6864554525449489,6.571277618408203,0.5513016845329249
Cross-Subject,Subject9,none,GBoosting,84,0.5325157933853586,0.4369444185020563,278.89986300468445,0.5254552211073951
Subject-Dependent,Subject9,anova,SVM,34,0.5421133231240429,0.5427796972914374,0.18663430213928223,0.5513016845329249
Cross-Subject,Subject9,anova,SVM,30,0.4659977703455964,0.4584129903092447,17.848653078079224,0.5254552211073951
Subject-Dependent,Subject9,anova,KNN,34,0.5344563552833078,0.5350834464012975,0.003734111785888672,0.5513016845329249
